"","WorkerID","Trial","TimeStamp","Condition","Argument1","Argument2","Correct","ConditionID","Testarg1","Testarg2","Question","Response","ResponseImage","RT"
"91",43,2,1474660760715,1," static/images/o1.png"," static/images/o1.png"," static/images/o5.png"," a a b"," static/images/o1.png"," static/images/o3.png"," a c"," b"," static/images/o5.png",4680
"92",43,3,1474660766241,1," static/images/o1.png"," static/images/o1.png"," static/images/o5.png"," a a b"," static/images/o5.png"," static/images/o3.png"," b c"," a"," static/images/o1.png",4159
"93",43,4,1474660775289,1," static/images/o1.png"," static/images/o1.png"," static/images/o5.png"," a a b"," static/images/o1.png"," static/images/o5.png"," a b"," c"," static/images/o3.png",8352
"94",43,5,1474660778771,1," static/images/o1.png"," static/images/o1.png"," static/images/o5.png"," a a b"," static/images/o5.png"," static/images/o1.png"," b a"," c"," static/images/o3.png",2834
"95",43,6,1474660783217,1," static/images/o1.png"," static/images/o1.png"," static/images/o5.png"," a a b"," static/images/o3.png"," static/images/o1.png"," c a"," b"," static/images/o5.png",3777
"96",43,7,1474660786873,1," static/images/o1.png"," static/images/o1.png"," static/images/o5.png"," a a b"," static/images/o1.png"," static/images/o1.png"," a a"," b"," static/images/o5.png",2831
"97",43,8,1474660790065,1," static/images/o1.png"," static/images/o1.png"," static/images/o5.png"," a a b"," static/images/o3.png"," static/images/o5.png"," c b"," a"," static/images/o1.png",2701
"98",43,9,1474660798072,1," static/images/o1.png"," static/images/o1.png"," static/images/o5.png"," a a b"," static/images/o5.png"," static/images/o5.png"," b b"," b"," static/images/o5.png",6758
"100",208,2,1474660733565,1," static/images/o6.png"," static/images/o6.png"," static/images/o3.png"," a a b"," static/images/o6.png"," static/images/o6.png"," a a"," b"," static/images/o3.png",7233
"101",208,3,1474660751747,1," static/images/o6.png"," static/images/o6.png"," static/images/o3.png"," a a b"," static/images/o6.png"," static/images/o2.png"," a c"," c"," static/images/o2.png",16369
"102",208,4,1474660767876,1," static/images/o6.png"," static/images/o6.png"," static/images/o3.png"," a a b"," static/images/o6.png"," static/images/o3.png"," a b"," a"," static/images/o6.png",14896
"103",208,5,1474660772023,1," static/images/o6.png"," static/images/o6.png"," static/images/o3.png"," a a b"," static/images/o2.png"," static/images/o6.png"," c a"," c"," static/images/o2.png",3656
"104",208,6,1474660775853,1," static/images/o6.png"," static/images/o6.png"," static/images/o3.png"," a a b"," static/images/o3.png"," static/images/o2.png"," b c"," a"," static/images/o6.png",3016
"105",208,7,1474660783898,1," static/images/o6.png"," static/images/o6.png"," static/images/o3.png"," a a b"," static/images/o2.png"," static/images/o3.png"," c b"," a"," static/images/o6.png",6707
"106",208,8,1474660787254,1," static/images/o6.png"," static/images/o6.png"," static/images/o3.png"," a a b"," static/images/o3.png"," static/images/o6.png"," b a"," c"," static/images/o2.png",2800
"107",208,9,1474660792626,1," static/images/o6.png"," static/images/o6.png"," static/images/o3.png"," a a b"," static/images/o3.png"," static/images/o3.png"," b b"," a"," static/images/o6.png",3872
"109",113,2,1474660845250,1," static/images/o2.png"," static/images/o2.png"," static/images/o3.png"," a a b"," static/images/o3.png"," static/images/o3.png"," b b"," c"," static/images/o1.png",29025
"110",113,3,1474660860313,1," static/images/o2.png"," static/images/o2.png"," static/images/o3.png"," a a b"," static/images/o2.png"," static/images/o3.png"," a b"," c"," static/images/o1.png",12536
